Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000112695.7,[ 3.52085628  7.47129832 21.63158139],[3.52085628,nan,nan],[2.89529081,2.47031899,3.36540871],
ENSG00000124172.5,[ 4.5018994  20.46547657 57.71426937],[4.5018994,nan,nan],[2.82007942,2.47100966,3.19411051],
ENSG00000269028.2,[  2.93855002 118.68199635 302.492119  ],[2.35084002,nan,nan],[2.54876163,2.47138184,2.62909673],
ENSG00000131143.4,[ 2.90803872  5.0973521  15.13824569],[2.90803872,nan,nan],[2.96982539,2.48992552,3.47778826],
ENSG00000092841.14,[  4.32998797  66.87549418 174.36328824],[3.68048977,nan,nan],[2.60728224,2.52206866,2.68782426],
ENSG00000125835.13,[ 3.0917014   5.59045918 16.79325065],[3.0917014,nan,nan],[3.00391258,2.55746982,3.49923759],
ENSG00000110536.9,[0.67487915 1.93177319 5.55491449],[0.67487915,nan,nan],[2.87555212,2.56701094,3.22263086],
ENSG00000174444.10,[ 4.33804925 24.12548994 70.46263496],[4.33804925,nan,nan],[2.92067167,2.58893101,3.27793183],
ENSG00000118523.5,[3.64780328e-01 4.79733250e+02 1.23346595e+03],[0.29182426,nan,nan],[2.80255305,2.63883991,2.9290401,]
ENSG00000026025.9,[  3.00369357 276.92740029 755.76638603],[3.00369357,nan,nan],[2.72911379,2.64559837,2.8009943,]
ENSG00000101182.10,[ 4.6587036  43.18105401 90.20326943],[3.72696288,nan,nan],[3.02898444,2.67720012,3.47282194],
ENSG00000084207.11,[  4.15104357  46.61712409 135.08373821],[4.15104357,nan,nan],[2.89772784,2.68158569,2.98561744],
ENSG00000135919.8,[  1.04816267 226.48979332 629.41015654],[1.04816267,nan,nan],[2.77897802,2.68566955,2.86542685],
ENSG00000221983.3,[ 4.77516551 17.21067984 53.25071751],[4.77516551,nan,nan],[3.09405079,2.71022258,3.50966716],
ENSG00000104870.8,[   1.87784025  364.29641426 1040.37264792],[1.87784025,nan,nan],[2.85584103,2.76081464,2.9259468,]
ENSG00000049247.9,[2.35088020e-01 4.30611606e+02 1.64302163e+03],[0.21157922,nan,nan],[2.89982068,2.76187426,3.05783402],
ENSG00000163191.5,[ 1.27167462  6.74768263 20.85884527],[1.27167462,nan,nan],[3.09126057,2.84144312,3.35660688],
ENSG00000089220.4,[2.66518454 2.61218903 9.21019831],[2.66518454,nan,nan],[3.52585445,2.84447476,4.31732216],
ENSG00000006327.9,[  0.83903993 142.64722837 428.9952472 ],[0.83903993,nan,nan],[3.00738579,2.8983119,3.10036208],
ENSG00000172809.8,[ 3.97044669 23.32852785 75.93500161],[3.97044669,nan,nan],[3.25502758,2.91435041,3.613057,]
ENSG00000115457.5,[ 2.44801433  5.83899072 19.2332375 ],[2.44801433,nan,nan],[3.29393185,2.91749986,3.70540477],
ENSG00000142534.2,[  4.92958536  57.53188822 171.36589025],[3.94366829,nan,nan],[3.06798321,2.9702833,3.14747432],
ENSG00000140319.6,[ 3.79632821  7.05616635 24.37114816],[3.79632821,nan,nan],[3.45387948,2.97319704,3.9866757,]
ENSG00000088986.6,[  3.69174601  32.138173   108.734354  ],[3.69174601,nan,nan],[3.38333962,3.0699654,3.48180856],
ENSG00000149806.6,[ 4.19712375 25.99629073 90.41366556],[4.19712375,nan,nan],[3.47794485,3.13779835,3.58437333],
ENSG00000163682.11,[  4.48852123  38.13678183 129.74138208],[4.48852123,nan,nan],[3.40200132,3.19227778,3.50411542],
ENSG00000171863.8,[  4.46881021  73.24946864 254.83006495],[4.46881021,nan,nan],[3.47893397,3.35153376,3.57144293],
ENSG00000204628.7,[  2.51087086 240.60170267 812.3961225 ],[2.51087086,nan,nan],[3.47781415,3.36465746,3.54450992],
ENSG00000183971.5,[ 2.15529989 22.73795026 70.43240348],[2.04753489,nan,nan],[3.46927894,3.36587206,3.82563598],
ENSG00000075624.9,[  5.12518567  51.30533409 193.55201467],[5.12518567,nan,nan],[3.77255149,3.42456865,3.87135569],
ENSG00000111057.6,[7.01622286e-01 2.41762901e+02 8.68624893e+02],[0.70162229,nan,nan],[3.59287918,3.45693207,3.70358872],
ENSG00000166803.6,[ 1.62884987  3.84013905 14.85317205],[1.62884987,nan,nan],[3.8678735,3.51354884,4.2444205,]
ENSG00000132341.7,[ 3.59263737  8.71764224 34.51343559],[3.59263737,nan,nan],[3.95903326,3.53343872,4.41962934],
ENSG00000108106.9,[1.13301648e+00 3.64070592e+02 1.33296767e+03],[1.13301648,nan,nan],[3.66128903,3.54114072,3.75660536],
ENSG00000104904.8,[ 3.49110869 11.59580066 45.69217144],[3.49110869,nan,nan],[3.94040677,3.55882068,4.343606,]
ENSG00000198417.5,[ 0.43459082 22.27685747 85.16642525],[0.43459082,nan,nan],[3.82308974,3.63140597,3.93757943],
ENSG00000172270.14,[1.94887328 1.37986396 6.51920885],[1.94887328,nan,nan],[4.72453011,3.66756716,6.01780373],
ENSG00000171858.13,[ 3.8986389  22.97181017 92.72908099],[3.8986389,nan,nan],[4.03664667,3.66992537,4.25335963],
ENSG00000149591.12,[2.44104348e-01 7.06564387e+02 2.73272191e+03],[0.24410435,nan,nan],[3.86761909,3.7202429,4.10280851],
ENSG00000196262.9,[ 4.05217981  6.95064669 29.75920175],[4.05217981,nan,nan],[4.28150114,3.75543151,4.85425448],
ENSG00000117632.16,[ 3.10752962  5.99037372 25.77658483],[3.10752962,nan,nan],[4.30300112,3.7915665,4.86284048],
ENSG00000100804.14,[ 3.07086435  3.55351238 15.92143571],[3.07086435,nan,nan],[4.48047847,3.82719285,5.21023008],
ENSG00000169567.7,[ 3.61268741  9.74773868 42.14906294],[3.61268741,nan,nan],[4.32398368,3.90091482,4.77216662],
ENSG00000134443.5,[ 1.02527198 14.25467681 58.73604054],[0.97400839,nan,nan],[4.12047508,3.99470284,4.25055965],
ENSG00000106153.12,[ 3.4323618   9.62587127 42.52321638],[3.4323618,nan,nan],[4.41759662,4.00301004,4.85518355],
ENSG00000123689.5,[ 0.09290848 16.87722328 73.44396626],[0.09290848,nan,nan],[4.35166171,4.00531811,4.63250412],
ENSG00000148303.12,[  4.12941722  41.83830432 176.75615032],[4.12941722,nan,nan],[4.2247446,4.02656119,4.33179246],
ENSG00000175063.12,[  0.54942424  94.32069849 424.21253186],[0.54942424,nan,nan],[4.49755503,4.34471086,4.64656956],
ENSG00000119630.9,[4.32471318e-01 9.54825783e+01 4.39839764e+02],[0.43247132,nan,nan],[4.60649233,4.45349521,4.78908318],
ENSG00000161970.8,[ 3.68851674 20.13637954 98.26425597],[3.68851674,nan,nan],[4.87993662,4.48594039,5.30165995],
ENSG00000114391.8,[ 3.65814432 13.06335649 65.93555119],[3.65814432,nan,nan],[5.04736675,4.61435658,5.50890881],
ENSG00000184009.5,[   2.98223247  360.16617493 1783.02818426],[2.98223247,nan,nan],[4.9505709,4.7709736,5.01234753],
ENSG00000110700.2,[ 3.99982848 16.6742468  87.84936682],[3.99982848,nan,nan],[5.26856582,4.84064616,5.73291456],
ENSG00000111669.10,[ 3.19780456  4.5730164  25.006354  ],[3.19780456,nan,nan],[5.46824061,4.88386383,6.1039848,]
ENSG00000065978.13,[  3.63807501  24.51813645 131.23828781],[3.63807501,nan,nan],[5.3527024,4.93637384,5.47982447],
ENSG00000197728.5,[  3.87520312  27.42033133 109.63902059],[3.29392265,nan,nan],[5.43790176,4.97733728,5.91130652],
ENSG00000108298.5,[ 3.59567143  8.58478786 47.27561202],[3.59567143,nan,nan],[5.5069051,5.02067555,6.02417579],
ENSG00000100316.11,[ 3.6722849   8.89128518 49.0417366 ],[3.6722849,nan,nan],[5.51570843,5.03451049,6.02790441],
ENSG00000172757.8,[ 3.44155137 10.20365733 56.64417237],[3.44155137,nan,nan],[5.55135973,5.11114029,6.01390041],
ENSG00000213741.4,[  3.51353236  19.8373423  110.29071312],[3.51353236,nan,nan],[5.55975248,5.15650102,5.79090767],
ENSG00000138326.14,[  4.95511861  35.11341461 138.95928698],[3.96409489,nan,nan],[5.85701354,5.37030772,6.38861115],
ENSG00000147604.9,[  4.27718542  22.69929588 134.61376816],[4.27718542,nan,nan],[5.9303059,5.48085254,6.06737321],
ENSG00000162244.6,[ 3.20975092  9.09126338 54.4749073 ],[3.20975092,nan,nan],[5.99200628,5.54174865,6.46307115],
ENSG00000145425.5,[  4.07629398  17.2421464  105.34209761],[4.07629398,nan,nan],[6.10956984,5.55697885,6.62263198],
ENSG00000198830.6,[ 2.35551212  6.80209497 40.95321199],[2.35551212,nan,nan],[6.0206763,5.60050713,6.4593852,]
ENSG00000196611.4,[2.79078726e-01 5.77448086e+02 3.63363851e+03],[0.27907873,nan,nan],[6.2925804,5.97433797,6.50184657],
ENSG00000130255.8,[  3.82580064  20.1279829  130.28221222],[3.82580064,nan,nan],[6.47269092,6.00838906,6.61983711],
ENSG00000108107.8,[ 3.56258998 14.35361835 94.27478118],[3.56258998,nan,nan],[6.56801504,6.10581841,7.04752831],
ENSG00000170889.9,[ 3.77950031  5.20760733 35.64528783],[3.77950031,nan,nan],[6.84484939,6.1792695,7.56255198],
ENSG00000145592.9,[  3.67195611  20.41808544 136.25227499],[3.67195611,nan,nan],[6.67311709,6.2284922,6.82239518],
ENSG00000205358.3,[2.48549875e-02 1.34177659e+01 1.18304088e+02],[0.02734049,nan,nan],[7.22991838,6.37707978,8.06860403],
ENSG00000109475.12,[  3.93874331  23.7550068  167.59209792],[3.93874331,nan,nan],[7.0550221,6.56012042,7.20509639],
ENSG00000166441.8,[ 3.36516499 11.93521662 85.28530923],[3.36516499,nan,nan],[7.14568591,6.65460013,7.65550574],
ENSG00000142676.8,[  3.98308757  14.74104219 113.60186221],[3.98308757,nan,nan],[7.7065014,7.18412152,8.24994319],
ENSG00000189403.10,[  3.62817047  16.97245852 131.11910784],[3.62817047,nan,nan],[7.72540453,7.23829796,7.89649059],
ENSG00000118181.6,[ 3.77595669 11.05269359 86.42250851],[3.77595669,nan,nan],[7.81913547,7.29032222,8.37074134],
ENSG00000136942.10,[  3.99718743  20.60321062 163.67310322],[3.99718743,nan,nan],[7.94405815,7.40641028,8.10896408],
ENSG00000182899.10,[ 3.61560914  9.62513801 78.46785547],[3.61560914,nan,nan],[8.15238757,7.60233201,8.72641314],
ENSG00000233927.4,[  3.96237925  23.14383105 197.04108804],[3.96237925,nan,nan],[8.51376281,7.96972632,8.68654889],
ENSG00000198918.7,[ 3.70968967 11.31485456 99.01710116],[3.70968967,nan,nan],[8.75107149,8.18042743,9.34084024],
ENSG00000197756.5,[  3.62714489  27.1839318  237.66302653],[3.62714489,nan,nan],[8.742776,8.385283,8.91649269],
ENSG00000105640.8,[  4.34598903  32.32082136 280.52510688],[3.69409068,nan,nan],[8.67939288,8.40898165,8.85568243],
ENSG00000256618.1,[ 1.87108724  8.25988983 73.60882668],[1.87108724,nan,nan],[8.91159909,8.4756421,9.36299503],
ENSG00000142937.7,[  3.73432776  19.11965284 176.59403343],[3.73432776,nan,nan],[9.23625731,8.65365649,9.42401838],
ENSG00000142541.12,[  3.72095084  17.90735382 179.1700278 ],[3.72095084,nan,nan],[10.00538827,9.37816256,10.20222989],
ENSG00000231500.2,[  3.66431876  20.05918759 200.92831439],[3.66431876,nan,nan],[10.01677229,9.40820574,10.21206566],
ENSG00000002586.13,[ 2.01657644  3.53490471 36.6048549 ],[2.01657644,nan,nan],[10.35525929,9.73806602,10.99913597],
ENSG00000144713.8,[  4.16713363  29.11693666 219.77349476],[3.54206358,nan,nan],[10.26522661,9.76705859,10.80636031],
ENSG00000147403.12,[  4.49633854  32.53246164 309.77175451],[3.82188776,nan,nan],[10.09324359,9.77693876,10.22198569],
ENSG00000123416.11,[ 2.5236364   8.82083488 93.50681519],[2.5236364,nan,nan],[10.60067629,10.03283177,11.1973401,]
ENSG00000112306.7,[  3.63555042  25.38475542 277.17145498],[3.63555042,nan,nan],[10.91881526,10.48675718,11.12523278],
ENSG00000187514.10,[  3.56618642  10.60725606 123.02177232],[3.56618642,nan,nan],[11.59788843,10.91524461,12.31624974],
ENSG00000186468.8,[  3.5262616   17.69379153 229.53746417],[3.5262616,nan,nan],[12.97276865,12.28044994,13.21255169],
ENSG00000161016.11,[  3.60963838  17.71407441 233.66887327],[3.60963838,nan,nan],[13.19114213,12.51422786,13.43447275],
ENSG00000166710.13,[ 2.19984572  2.862267   47.91013354],[2.19984572,nan,nan],[16.73852704,15.89782496,17.63307587],
ENSG00000169715.10,[1.77724846e-01 2.28251381e+01 6.65282281e+02],[0.2310423,nan,nan],[23.02606011,21.8259363,23.50755406],
ENSG00000187193.8,[3.32934066e-01 4.95846380e+01 1.22098884e+03],[0.33293407,nan,nan],[24.62433711,23.83773376,25.3992203,]
ENSG00000125144.9,[2.45066203e-01 2.69934071e+01 7.93965189e+02],[0.25731951,nan,nan],[29.41330026,28.01713971,30.12415913],
ENSG00000087086.9,[1.92345810e+00 2.15850543e+02 6.47997769e+03],[1.9234581,nan,nan],[30.02066888,29.03843587,30.26371937],
ENSG00000034510.4,[  3.56202027  48.89582317 615.14236827],[3.56202027,nan,nan],[12.58067312,nan,nan],
ENSG00000063177.8,[  4.63499573  70.70414306 271.65923236],[3.70799659,nan,nan],[3.8421968,nan,nan],
ENSG00000071082.6,[  4.7519985   87.23018585 358.5963837 ],[3.56399887,nan,nan],[4.11092078,nan,nan],
ENSG00000080824.14,[   3.80723789  803.49523072 1629.71464895],[3.80723789,nan,nan],[1.60234252,nan,nan],
ENSG00000083845.4,[  4.94057102 101.98909057 421.23812533],[3.95245682,nan,nan],[4.13022729,nan,nan],
ENSG00000089009.11,[  4.81143502 110.1421586  417.99422667],[4.08971977,nan,nan],[3.79504299,nan,nan],
ENSG00000089157.11,[  4.89057524  49.33210572 276.38189692],[3.91246019,nan,nan],[5.60247516,nan,nan],
ENSG00000100097.7,[  0.88473505  39.59702342 313.23213964],[0.8404983,nan,nan],[7.91049712,nan,nan],
ENSG00000102265.7,[   1.74880145  277.31741733 1216.72633226],[1.74880145,nan,nan],[4.25586158,nan,nan],
ENSG00000104722.9,[4.28061413e-01 5.64906653e+02 6.86611847e+02],[0.55647984,nan,nan],[0.70495695,nan,nan],
ENSG00000105193.4,[  4.11681763  47.31749134 299.61202561],[3.49929499,nan,nan],[6.33195077,nan,nan],
ENSG00000105372.2,[   4.62745947  175.87810674 2111.56160637],[4.62745947,nan,nan],[12.00582406,nan,nan],
ENSG00000105974.7,[  3.47872257 201.65848564 952.32773089],[3.47872257,nan,nan],[4.72247785,nan,nan],
ENSG00000106537.7,[1.03794263e+00 7.80082813e+02 1.19443292e+03],[1.08983976,nan,nan],[1.20961774,nan,nan],
ENSG00000108518.7,[  4.40473378  52.66658991 209.23168142],[3.52378702,nan,nan],[3.97275923,nan,nan],
ENSG00000109971.9,[   3.55963871  926.00922531 1714.88044565],[3.55963871,nan,nan],[1.68523289,nan,nan],
ENSG00000110092.3,[  3.09850284 127.63535258 469.25223644],[3.09850284,nan,nan],[3.67650676,nan,nan],
ENSG00000111640.10,[   4.78423029  761.21736122 4732.1592821 ],[4.78423029,nan,nan],[4.72459147,nan,nan],
ENSG00000115268.5,[   4.66718203  169.99169807 1456.9614257 ],[4.66718203,nan,nan],[8.57077988,nan,nan],
ENSG00000117318.8,[  2.32185313 107.75672116 324.79100057],[2.32185313,nan,nan],[3.01411362,nan,nan],
ENSG00000119705.5,[   4.28293708  945.0885123  1472.81482854],[4.28293708,nan,nan],[1.46488495,nan,nan],
ENSG00000122026.6,[  4.32161945  24.43041403 243.3076544 ],[3.8894575,nan,nan],[9.95921126,nan,nan],
ENSG00000122406.8,[  4.75113827 373.08709606 943.46281159],[4.75113827,nan,nan],[2.52880044,nan,nan],
ENSG00000122585.3,[5.12101845e-01 4.15834465e+02 1.48077924e+03],[0.51210184,nan,nan],[3.454153,nan,nan],
ENSG00000123975.4,[  1.21316208 261.67891178 740.44835614],[1.21316208,nan,nan],[2.82960652,nan,nan],
ENSG00000125148.6,[6.32026078e-01 1.36421572e+01 6.61987691e+02],[0.66362738,nan,nan],[48.5251477,nan,nan],
ENSG00000133112.12,[  2.96880419 222.59018415 843.85407214],[2.96880419,nan,nan],[3.79106597,nan,nan],
ENSG00000133169.5,[6.48098840e-01 9.89537361e+02 1.35221469e+03],[0.64809884,nan,nan],[1.32551665,nan,nan],
ENSG00000134419.11,[  4.69042713 113.56290458 419.15594594],[3.75234171,nan,nan],[3.69095831,nan,nan],
ENSG00000137154.8,[  4.53930615 160.59460529 457.07132402],[3.85841022,nan,nan],[2.84611879,nan,nan],
ENSG00000137818.7,[4.19151724e+00 5.68434785e+02 1.00000000e+04],[4.19151724,nan,nan],[17.5921676,nan,nan],
ENSG00000140264.15,[  4.16162273 161.94379705 564.71122954],[4.16162273,nan,nan],[3.48708157,nan,nan],
ENSG00000140416.15,[4.85292035e-01 9.41046229e+02 1.24391452e+03],[0.48529203,nan,nan],[1.24253157,nan,nan],
ENSG00000140988.11,[  2.9490902   27.26213729 660.99009655],[2.65418118,nan,nan],[24.24571814,nan,nan],
ENSG00000143947.8,[  4.8443057   54.15001134 296.0825557 ],[4.11765985,nan,nan],[5.63185537,nan,nan],
ENSG00000149273.10,[   5.06292038  231.41747998 1303.49942494],[5.06292038,nan,nan],[5.63267487,nan,nan],
ENSG00000156508.13,[   5.1376622   213.79198201 1489.66053584],[5.1376622,nan,nan],[6.96780357,nan,nan],
ENSG00000164032.7,[  2.72054493  17.17584998 134.64809179],[2.44849043,nan,nan],[7.83938448,nan,nan],
ENSG00000164587.7,[   4.51765362  246.74126309 1663.47290085],[4.51765362,nan,nan],[6.74177023,nan,nan],
ENSG00000167526.9,[  3.65452151  51.51761133 667.01134376],[3.10634328,nan,nan],[12.94724904,nan,nan],
ENSG00000167996.11,[   2.89829199  130.63856378 2205.85074301],[2.89829199,nan,nan],[16.88514233,nan,nan],
ENSG00000168028.9,[  4.27330408 259.62826972 678.15961976],[4.27330408,nan,nan],[2.61204075,nan,nan],
ENSG00000173660.7,[  3.88737213 106.5864145  274.64036031],[3.88737213,nan,nan],[2.57669199,nan,nan],
ENSG00000174748.14,[  4.55914681  38.6754397  237.46030204],[3.64731745,nan,nan],[6.3240163,nan,nan],
ENSG00000177600.4,[   4.07501197  185.11113579 1117.49947614],[4.07501197,nan,nan],[6.03691113,nan,nan],
ENSG00000177954.7,[  3.75091202  34.60965296 314.34949252],[3.75091202,nan,nan],[9.08271149,nan,nan],
ENSG00000181163.9,[  2.26995182 299.46376466 837.73775619],[2.26995182,nan,nan],[2.79745951,nan,nan],
ENSG00000181195.6,[3.93666124e-01 8.27618146e+02 9.28593180e+02],[0.39366612,nan,nan],[0.92004557,nan,nan],
ENSG00000189043.5,[   3.61780013  402.13550256 1017.42712107],[3.61780013,nan,nan],[2.53006043,nan,nan],
ENSG00000197061.3,[  0.48160162   4.46088043 190.30558694],[0.48160162,nan,nan],[42.66099259,nan,nan],
ENSG00000197696.5,[5.28789918e-01 5.88742850e+02 5.89419239e+02],[0.55522941,nan,nan],[nan,nan,nan],
ENSG00000197903.6,[6.63182280e-01 9.36396704e+02 9.76943740e+02],[0.63002317,nan,nan],[0.98070306,nan,nan],
ENSG00000197956.5,[7.05335161e-01 8.85244061e+01 8.02978702e+02],[0.70533516,nan,nan],[9.0707042,nan,nan],
ENSG00000197958.8,[  4.02489315  53.67020288 278.85280159],[4.02489315,nan,nan],[5.19567258,nan,nan],
ENSG00000198034.6,[  4.63511225 114.33443658 510.87889506],[4.63511225,nan,nan],[4.46828541,nan,nan],
ENSG00000198242.9,[  4.27304147  66.07632821 337.71938053],[3.63208525,nan,nan],[5.11104944,nan,nan],
ENSG00000205542.6,[1.57531038e+00 3.72188071e+02 4.98613870e+03],[1.57531038,nan,nan],[12.9949209,nan,nan],
ENSG00000229117.4,[  3.42980066  18.39167853 436.45840073],[3.42980066,nan,nan],[23.73129783,nan,nan],
