Gene,"k_on, k_off, k_syn",freq_point,lower,upper ,size_point,lower,upper ,
ENSG00000124795.10,[  3.28073403 420.9313099  423.67072215],[3.28073403,nan,nan],[1.00650798,0.9660396,1.05021274],
ENSG00000112081.12,[ 4.32790815 19.36496747 24.78557075],[4.32790815,nan,nan],[1.27991802,0.9762978,1.63647236],
ENSG00000197696.5,[5.52816058e-01 7.42379625e+02 7.72461744e+02],[0.55281606,nan,nan],[1.04052121,0.97683277,1.1039078,]
ENSG00000142168.10,[ 5.18950563 84.12132203 85.81433109],[4.15160451,nan,nan],[1.0201258,0.97810466,1.06514517],
ENSG00000130529.11,[  1.74681808 588.30234447 604.55730129],[1.74681808,nan,nan],[1.02763028,0.98314376,1.07372049],
ENSG00000165916.4,[  3.4700244  390.450464   399.51910503],[3.4700244,nan,nan],[1.0232261,0.98498915,1.06970837],
ENSG00000111716.8,[  3.95793583 604.31133536 618.81115919],[3.95793583,nan,nan],[1.02399396,0.99086436,1.07800247],
ENSG00000204387.8,[  3.4659509  484.5625795  501.95972415],[3.4659509,nan,nan],[1.03590278,0.99453053,1.07774622],
ENSG00000184076.10,[ 4.1261284  67.08974766 69.6823453 ],[3.71351556,nan,nan],[1.03864372,0.99557644,1.08439538],
ENSG00000177697.13,[ 1.31592179  8.94521438 10.42309086],[1.31592179,nan,nan],[1.20017063,0.99858594,1.42443536],
ENSG00000182117.4,[  4.05469519 131.47273731 137.0344958 ],[4.05469519,nan,nan],[1.04230351,1.00014859,1.08600348],
ENSG00000170891.6,[ 0.28651229 47.64523344 51.77327617],[0.28651229,nan,nan],[1.08664125,1.00477725,1.16717467],
ENSG00000163497.2,[0.39003593 5.23868987 6.15769929],[0.39003593,nan,nan],[1.17542734,1.00941459,1.38512588],
ENSG00000147684.3,[  5.18530012 223.26124811 229.9663022 ],[4.14824009,nan,nan],[1.06093329,1.01456367,1.10034505],
ENSG00000090266.8,[ 4.02248036 19.20961255 20.80560939],[3.62023232,nan,nan],[1.34302322,1.01460174,1.71368727],
ENSG00000126777.13,[ 3.1131092  23.27513585 28.36479984],[3.1131092,nan,nan],[1.21867387,1.01982686,1.48834746],
ENSG00000198258.6,[ 4.87253317 57.33623872 61.55245924],[4.87253317,nan,nan],[1.073535,1.02888141,1.12008879],
ENSG00000165502.6,[ 4.89356217 56.94775671 61.17775567],[4.89356217,nan,nan],[1.07427859,1.02936215,1.12049836],
ENSG00000163399.11,[  2.47084824 310.35454176 338.085362  ],[2.47084824,nan,nan],[1.08935207,1.03455613,1.1268643,]
ENSG00000181195.6,[3.47072207e-01 5.68097953e+02 7.48262149e+02],[0.38177943,nan,nan],[1.11956543,1.04746444,1.19191198],
ENSG00000074071.9,[ 3.27415293 14.36723287 15.55231259],[2.94673764,nan,nan],[1.37475582,1.04920371,1.7486586,]
ENSG00000130203.5,[2.65157779e-01 3.61448429e+02 3.98043512e+02],[0.25189989,nan,nan],[1.13428302,1.05321313,1.23225694],
ENSG00000169020.5,[  3.79313204 111.92372533 123.08174787],[3.79313204,nan,nan],[1.09969309,1.0557639,1.14422799],
ENSG00000123200.12,[  2.11066144 337.97988171 370.73994887],[2.11066144,nan,nan],[1.09692904,1.0559318,1.14825092],
ENSG00000142227.6,[  3.27735423 154.92823731 170.67558622],[3.27735423,nan,nan],[1.10164286,1.05615522,1.14507677],
